Sequence,J-Mean,F-Mean
bike-packing_1,0.537,0.739
bike-packing_2,0.733,0.764
blackswan_1,0.893,0.930
bmx-trees_1,0.299,0.710
bmx-trees_2,0.531,0.680
breakdance_1,0.682,0.695
camel_1,0.731,0.783
car-roundabout_1,0.849,0.733
car-shadow_1,0.757,0.701
cows_1,0.871,0.870
dance-twirl_1,0.559,0.617
dog_1,0.891,0.876
dogs-jump_1,0.240,0.311
dogs-jump_2,0.380,0.431
dogs-jump_3,0.711,0.823
drift-chicane_1,0.596,0.696
drift-straight_1,0.644,0.495
goat_1,0.836,0.831
gold-fish_1,0.783,0.768
gold-fish_2,0.671,0.770
gold-fish_3,0.773,0.774
gold-fish_4,0.792,0.825
gold-fish_5,0.855,0.819
horsejump-high_1,0.693,0.802
horsejump-high_2,0.540,0.794
india_1,0.591,0.525
india_2,0.509,0.497
india_3,0.510,0.496
judo_1,0.723,0.737
judo_2,0.723,0.722
kite-surf_1,0.193,0.234
kite-surf_2,0.250,0.250
kite-surf_3,0.505,0.794
lab-coat_1,0.210,0.682
lab-coat_2,0.000,0.000
lab-coat_3,0.504,0.436
lab-coat_4,0.551,0.432
lab-coat_5,0.457,0.412
libby_1,0.719,0.909
loading_1,0.787,0.710
loading_2,0.347,0.433
loading_3,0.711,0.729
mbike-trick_1,0.483,0.651
mbike-trick_2,0.534,0.564
motocross-jump_1,0.498,0.524
motocross-jump_2,0.665,0.585
paragliding-launch_1,0.665,0.722
paragliding-launch_2,0.420,0.682
paragliding-launch_3,0.035,0.166
parkour_1,0.802,0.885
pigs_1,0.842,0.823
pigs_2,0.563,0.704
pigs_3,0.896,0.840
scooter-black_1,0.239,0.515
scooter-black_2,0.543,0.599
shooting_1,0.241,0.332
shooting_2,0.714,0.625
shooting_3,0.660,0.868
soapbox_1,0.721,0.702
soapbox_2,0.256,0.330
soapbox_3,0.285,0.499
