Sequence,J-Mean,F-Mean
bike-packing_1,0.532,0.699
bike-packing_2,0.701,0.720
blackswan_1,0.890,0.922
bmx-trees_1,0.283,0.634
bmx-trees_2,0.491,0.628
breakdance_1,0.689,0.706
camel_1,0.732,0.761
car-roundabout_1,0.858,0.721
car-shadow_1,0.867,0.860
cows_1,0.877,0.882
dance-twirl_1,0.588,0.637
dog_1,0.879,0.850
dogs-jump_1,0.158,0.286
dogs-jump_2,0.405,0.452
dogs-jump_3,0.702,0.812
drift-chicane_1,0.587,0.667
drift-straight_1,0.731,0.580
goat_1,0.829,0.799
gold-fish_1,0.801,0.796
gold-fish_2,0.629,0.690
gold-fish_3,0.762,0.774
gold-fish_4,0.784,0.799
gold-fish_5,0.860,0.833
horsejump-high_1,0.688,0.779
horsejump-high_2,0.587,0.771
india_1,0.538,0.477
india_2,0.497,0.497
india_3,0.471,0.458
judo_1,0.696,0.729
judo_2,0.664,0.651
kite-surf_1,0.195,0.242
kite-surf_2,0.250,0.250
kite-surf_3,0.469,0.697
lab-coat_1,0.115,0.525
lab-coat_2,0.000,0.000
lab-coat_3,0.640,0.562
lab-coat_4,0.644,0.503
lab-coat_5,0.536,0.442
libby_1,0.712,0.892
loading_1,0.799,0.709
loading_2,0.319,0.394
loading_3,0.706,0.709
mbike-trick_1,0.518,0.603
mbike-trick_2,0.548,0.540
motocross-jump_1,0.459,0.458
motocross-jump_2,0.518,0.509
paragliding-launch_1,0.608,0.628
paragliding-launch_2,0.482,0.651
paragliding-launch_3,0.090,0.341
parkour_1,0.778,0.837
pigs_1,0.845,0.841
pigs_2,0.588,0.743
pigs_3,0.888,0.827
scooter-black_1,0.183,0.464
scooter-black_2,0.678,0.624
shooting_1,0.269,0.302
shooting_2,0.748,0.705
shooting_3,0.699,0.893
soapbox_1,0.699,0.677
soapbox_2,0.232,0.332
soapbox_3,0.330,0.456
